iter	RMSE
0	3726.135065
1	3248.076704
2	2965.453858
3	2789.61855
4	2655.282639
5	2571.153527
6	2513.915381
7	2481.478846
8	2460.533335
9	2439.571243
10	2421.755507
11	2396.743892
12	2384.375243
13	2365.718792
14	2356.145975
15	2340.514463
16	2328.269464
17	2315.520965
18	2303.297287
19	2290.90039
20	2281.945211
21	2275.478913
22	2258.914758
23	2253.000022
24	2245.148071
25	2234.596548
26	2230.852605
27	2224.790556
28	2206.588478
29	2199.557666
30	2193.22751
31	2181.979805
32	2177.440192
33	2172.725433
34	2169.21766
35	2160.611911
36	2154.932112
37	2144.286039
38	2138.112482
39	2134.600425
40	2124.969021
41	2122.209223
42	2115.631345
43	2110.096465
44	2105.70697
45	2102.8977
46	2100.147737
47	2093.942329
48	2089.782124
49	2085.186371
50	2079.665039
51	2070.764216
52	2065.751165
53	2061.160758
54	2054.091196
55	2050.164502
56	2047.645801
57	2044.350116
58	2038.175081
59	2035.750815
60	2029.147791
61	2026.311932
62	2023.540767
63	2020.772789
64	2016.950319
65	2014.087757
66	2010.323331
67	2008.665048
68	2005.744301
69	2003.966102
70	2000.138969
71	1997.688081
72	1991.415896
73	1987.397414
74	1985.230078
75	1984.384917
76	1980.364565
77	1977.806346
78	1976.109031
79	1971.512916
80	1968.239983
81	1965.997153
82	1963.600073
83	1960.949789
84	1959.551894
85	1955.859666
86	1953.858589
87	1951.774924
88	1949.829694
89	1946.325524
90	1944.1814
91	1942.599629
92	1939.86313
93	1936.31186
94	1934.585928
95	1932.180367
96	1928.638728
97	1925.257809
98	1924.040541
99	1921.647694
100	1919.665968
101	1916.423821
102	1915.029369
103	1912.743582
104	1911.376123
105	1910.470218
106	1910.338425
107	1907.165521
108	1905.794212
109	1903.721622
110	1901.57466
111	1901.320282
112	1900.510907
113	1897.505691
114	1895.758705
115	1893.867331
116	1891.800722
117	1890.998921
118	1890.336761
119	1887.415981
120	1886.727912
121	1885.793437
122	1884.90516
123	1884.715832
124	1884.495068
125	1882.850316
126	1880.449811
127	1879.627731
128	1879.591264
129	1878.929292
130	1876.73744
131	1875.135731
132	1873.75988
133	1872.227904
134	1869.966927
135	1868.406698
136	1867.492597
137	1866.785936
138	1865.39304
139	1864.518658
140	1863.289348
141	1862.529702
142	1860.317287
143	1858.777151
144	1857.807766
145	1855.101321
146	1854.531272
147	1852.175894
148	1850.223278
149	1848.316938
150	1847.106781
151	1846.714103
152	1844.577758
153	1844.217306
154	1843.665206
155	1842.554283
156	1842.141569
157	1841.733564
158	1841.120755
159	1839.007678
160	1837.467328
161	1836.681936
162	1834.88909
163	1833.717358
164	1832.704057
165	1831.218485
166	1830.437804
167	1829.565612
168	1828.195696
169	1825.995564
170	1823.443248
171	1822.62652
172	1819.50713
173	1818.491727
174	1817.755565
175	1814.952363
176	1813.82805
177	1813.245256
178	1812.957
179	1811.588939
180	1810.867846
181	1810.578985
182	1809.551658
183	1808.628589
184	1806.523042
185	1805.967961
186	1804.738169
187	1804.280029
188	1803.296384
189	1802.863318
190	1801.989116
191	1800.692514
192	1799.906727
193	1798.730073
194	1797.490903
195	1795.737314
196	1794.227293
197	1792.978518
198	1791.383853
199	1789.867955
200	1788.23598
