iter	Passed	Remaining
0	314	125315
1	605	120498
2	919	121651
3	1245	123335
4	1523	120373
5	1816	119286
6	2124	119290
7	2418	118503
8	2704	117474
9	2990	116633
10	3304	116862
11	3598	116364
12	3889	115802
13	4199	115783
14	4501	115528
15	4807	115377
16	5105	115026
17	5411	114837
18	5722	114749
19	6033	114636
20	6342	114472
21	6627	113875
22	6936	113699
23	7250	113589
24	7548	113232
25	7842	112813
26	8130	112322
27	8426	111951
28	8727	111655
29	9016	111205
30	9322	110964
31	9612	110544
32	9914	110255
33	10221	110030
34	10516	109674
35	10811	109318
36	11100	108905
37	11385	108460
38	11689	108198
39	11999	107996
40	12315	107832
41	12614	107521
42	12901	107112
43	13199	106799
44	13508	106569
45	13808	106263
46	14101	105912
47	14403	105626
48	14695	105267
49	15006	105047
50	15302	104716
51	15598	104389
52	15936	104336
53	16245	104093
54	16536	103731
55	16830	103388
56	17130	103080
57	17471	103021
58	17776	102741
59	18103	102586
60	18404	102280
61	18726	102091
62	19052	101913
63	19354	101610
64	19641	101231
65	19933	100875
66	20236	100576
67	20517	100175
68	20809	99826
69	21101	99477
70	21379	99070
71	21701	98862
72	21993	98520
73	22307	98274
74	22617	98008
75	22922	97722
76	23237	97478
77	23534	97154
78	23836	96855
79	24136	96547
80	24434	96231
81	24734	95921
82	25042	95644
83	25350	95366
84	25640	95021
85	25933	94686
86	26228	94360
87	26528	94056
88	26829	93750
89	27147	93507
90	27438	93168
91	27737	92859
92	28051	92599
93	28361	92325
94	28683	92090
95	28978	91764
96	29273	91442
97	29552	91069
98	29835	90712
99	30133	90399
100	30420	90057
101	30724	89764
102	31027	89466
103	31340	89200
104	31641	88896
105	31951	88619
106	32281	88397
107	32598	88136
108	32906	87852
109	33235	87621
110	33519	87271
111	33802	86920
112	34107	86626
113	34381	86254
114	34678	85941
115	34988	85661
116	35294	85370
117	35589	85054
118	35907	84790
119	36222	84520
120	36546	84267
121	36870	84016
122	37201	83778
123	37495	83458
124	37781	83119
125	38076	82801
126	38393	82529
127	38704	82247
128	39015	81963
129	39320	81666
130	39635	81388
131	39952	81114
132	40254	80812
133	40565	80525
134	40866	80219
135	41167	79914
136	41480	79631
137	41802	79363
138	42098	79049
139	42432	78803
140	42737	78504
141	43049	78216
142	43344	77899
143	43648	77598
144	43946	77284
145	44239	76964
146	44539	76656
147	44844	76357
148	45157	76070
149	45446	75743
150	45770	75476
151	46081	75186
152	46424	74946
153	46749	74677
154	47048	74367
155	47332	74032
156	47619	73703
157	47942	73430
158	48250	73134
159	48554	72831
160	48857	72528
161	49162	72226
162	49462	71917
163	49752	71595
164	50039	71268
165	50370	71004
166	50669	70694
167	50950	70360
168	51262	70068
169	51573	69776
170	51881	69478
171	52181	69171
172	52492	68876
173	52786	68562
174	53130	68310
175	53428	67999
176	53713	67672
177	54022	67376
178	54357	67111
179	54660	66806
180	54989	66534
181	55282	66217
182	55594	65923
183	55902	65624
184	56208	65323
185	56509	65015
186	56834	64736
187	57152	64448
188	57442	64128
189	57766	63846
190	58077	63551
191	58382	63247
192	58677	62933
193	58990	62639
194	59295	62336
195	59578	62010
196	59887	61711
197	60202	61418
198	60495	61103
199	60800	60800
200	61105	60497
201	61436	60219
202	61738	59914
203	62059	59625
204	62373	59331
205	62713	59060
206	63038	58774
207	63340	58468
208	63650	58168
209	63962	57870
210	64274	57572
211	64581	57270
212	64886	56966
213	65196	56666
214	65506	56365
215	65810	56060
216	66107	55749
217	66427	55458
218	66767	55182
219	67093	54894
220	67406	54596
221	67738	54312
222	68069	54027
223	68391	53736
224	68694	53428
225	68993	53119
226	69296	52811
227	69592	52499
228	69905	52199
229	70214	51898
230	70515	51589
231	70836	51295
232	71155	51000
233	71465	50697
234	71801	50413
235	72110	50110
236	72441	49822
237	72743	49514
238	73043	49205
239	73342	48894
240	73636	48581
241	73931	48269
242	74219	47952
243	74529	47649
244	74864	47363
245	75153	47047
246	75459	46741
247	75773	46441
248	76081	46137
249	76411	45846
250	76728	45548
251	77065	45260
252	77369	44954
253	77672	44646
254	77972	44337
255	78287	44036
256	78596	43732
257	78902	43427
258	79231	43133
259	79533	42825
260	79844	42522
261	80148	42215
262	80451	41908
263	80766	41606
264	81067	41298
265	81395	41003
266	81705	40699
267	81999	40387
268	82294	40076
269	82593	39767
270	82905	39464
271	83231	39167
272	83529	38858
273	83850	38559
274	84140	38245
275	84447	37940
276	84759	37636
277	85069	37332
278	85393	37034
279	85711	36733
280	86049	36441
281	86382	36145
282	86675	35834
283	86981	35527
284	87293	35223
285	87599	34917
286	87911	34613
287	88214	34305
288	88527	34001
289	88839	33697
290	89152	33394
291	89472	33092
292	89778	32785
293	90081	32478
294	90408	32179
295	90742	31882
296	91048	31575
297	91361	31271
298	91667	30964
299	91992	30664
300	92309	30361
301	92596	30047
302	92921	29747
303	93220	29438
304	93530	29132
305	93859	28832
306	94174	28528
307	94474	28219
308	94786	27914
309	95119	27615
310	95428	27308
311	95736	27002
312	96061	26700
313	96363	26392
314	96686	26089
315	97007	25786
316	97341	25486
317	97653	25181
318	97948	24870
319	98267	24566
320	98582	24261
321	98887	23954
322	99179	23643
323	99489	23336
324	99784	23027
325	100099	22721
326	100445	22423
327	100768	22119
328	101101	21818
329	101403	21509
330	101716	21203
331	102041	20900
332	102359	20594
333	102662	20286
334	102985	19982
335	103292	19674
336	103616	19370
337	103917	19061
338	104220	18753
339	104524	18445
340	104842	18139
341	105158	17833
342	105490	17530
343	105816	17225
344	106153	16923
345	106451	16613
346	106771	16308
347	107093	16002
348	107398	15694
349	107714	15387
350	108020	15079
351	108335	14773
352	108650	14466
353	108968	14159
354	109286	13853
355	109591	13545
356	109895	13236
357	110198	12928
